subject,MobileNetV3_genuine_acc,MobileNetV3_attack_succ,GhostNet_genuine_acc,GhostNet_attack_succ,EfficientNet_genuine_acc,EfficientNet_attack_succ
0001,nan,16.43,nan,99.03,nan,90.34
0002,nan,97.8,nan,87.53,nan,54.03
0003,nan,19.8,nan,5.69,nan,35.64
0004,100.0,100.0,99.78,100.0,100.0,100.0
0005,nan,100.0,nan,69.88,nan,59.51
0006,100.0,100.0,100.0,100.0,100.0,100.0
0007,100.0,40.93,99.53,17.65,100.0,0.25
0008,nan,70.37,nan,100.0,nan,39.75
0009,nan,94.93,nan,57.25,nan,71.26
0010,100.0,0.0,100.0,0.0,100.0,1.24
0011,100.0,96.37,100.0,99.01,100.0,97.69
0012,91.72,3.39,100.0,98.44,100.0,95.05
0013,100.0,nan,100.0,nan,99.79,nan
0014,100.0,17.08,100.0,94.76,100.0,60.14
0015,100.0,7.11,100.0,45.0,100.0,91.58
